Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance_KM,Distance_m,Max Heart Rate,Commute,Activity Gear,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
693525798,"17 Aug 2016, 05:14:39",Morning Run,Run,,1640,1640,5.01,5017,,FALSE,Adidas Revenge Boost 2M,3.599999905,,15.56000042,,50.29999924,69,4.199999809,-0.207295001
693525819,"24 Aug 2016, 06:35:01",Morning Run in Madrid,Run,,1891,1749,5.11,5118.5,,FALSE,Nike Free 5 Flyknit,5.800000191,,82.25330353,,728.5,757.2000122,24.20000076,-0.066425703
693525836,"29 Aug 2016, 10:42:03",Lunch Run,Run,,1988,1988,6.15,6155.899902,,FALSE,Adidas Revenge Boost 2M,3.799999952,,26.81999969,,50.09999847,67.30000305,3.5,-0.069851696
703324825,"6 Sep 2016, 19:09:57",Evening Run,Run,,1602,1602,5.05,5050.5,,FALSE,Adidas Revenge Boost 2M,4,,0,,57.70000076,66,2.099999905,-0.091080099
826479249,"8 Jan 2017, 17:24:45",Afternoon Run,Run,,705,705,2.24,2243.800049,,FALSE,Adidas Revenge Boost 2M,3.799999952,,0,,57.90000153,68.59999847,3.299999952,0.294144005
826480452,"7 Jan 2017, 11:27:41",Lunch Run,Run,,1315,1315,4.02,4028.300049,,FALSE,Adidas Revenge Boost 2M,3.700000048,,18.5,,50.20000076,69.19999695,6.900000095,0.00248244
826731038,"9 Jan 2017, 18:04:39",Evening Run,Run,,1038,1038,3.24,3248.399902,,FALSE,Adidas Revenge Boost 2M,3.5,,18.23999977,,50.20000076,69.19999695,6.599999905,-0.107744999
1013399301,"29 Apr 2017, 11:02:08",Lunch Run,Run,,3360,3360,10,10004.7002,,FALSE,Adidas Revenge Boost 2M,4.099999905,,95.68000031,,13.80000019,60.90000153,16.10000038,-0.229892001
1013399325,"13 Apr 2017, 09:13:14",Lunch Run,Run,,1905,1905,6.09,6094.799805,,FALSE,Adidas Revenge Boost 2M,4.099999905,,54.97999954,,69.59999847,94,8.5,-0.103367001
1013399389,"19 Mar 2017, 12:07:55",Lunch Run,Run,,2131,2131,6.58,6588,,FALSE,Adidas Revenge Boost 2M,3.799999952,,19.55999947,,2,11,4.099999905,-0.021250799
1013399453,"4 Mar 2017, 13:16:46",Afternoon Run,Run,,2774,2774,8.33,8335.5,,FALSE,Adidas Revenge Boost 2M,3.700000048,,54.95999908,,49.90000153,68.19999695,6.800000191,-0.097174697
1013399482,"12 Mar 2017, 08:37:41",Morning Run,Run,#longrun,7117,7117,21.19,21192.40039,,FALSE,Adidas Revenge Boost 2M,6.400000095,,224.5800018,,34.90000153,78.5,14.69999981,0.129291996
1013399515,"19 Feb 2017, 11:08:42",Lunch Run,Run,,4792,4792,14.02,14019.5,,FALSE,Adidas Revenge Boost 2M,5.5,,109.663002,,43.29999924,83.90000153,8.100000381,-0.0263918
1013399552,"14 May 2017, 10:39:39",Lunch Run,Run,,1130,1130,2.55,2549.199951,,FALSE,Adidas Revenge Boost 2M,2.599999905,,23.52000046,,58,66.69999695,7.400000095,-0.168679997
1013399561,"5 Feb 2017, 11:49:42",Lunch Run,Run,,3346,3346,10.02,10022,,FALSE,Adidas Revenge Boost 2M,4,,71.80999756,,31.5,62.90000153,12.89999962,-0.197565004
1013399573,"21 May 2017, 08:34:11",Wimbledon Common Half Marathon 2017,Run,#race,7168,7168,20.96,20959.69922,,FALSE,Adidas Revenge Boost 2M,4,,194.6799927,,12.39999962,65.80000305,18,0.000954212
1013399590,"14 May 2017, 09:30:30",Morning Run,Run,,1093,1093,3.51,3512.899902,,FALSE,Adidas Revenge Boost 2M,4.699999809,,18.54000092,,50.29999924,70,4.599999905,0.0284665
1013399635,"7 May 2017, 11:31:03",Lunch Run,Run,,2115,2115,6.54,6543.100098,,FALSE,Adidas Revenge Boost 2M,4.099999905,,43.082901,,50,69.19999695,6.699999809,-0.261343986
1013401112,"22 Jan 2017, 12:37:12",Lunch Run,Run,,2016,2016,6.21,6218.200195,,FALSE,Adidas Revenge Boost 2M,3.900000095,,31.39999962,,50,68.19999695,4.5,-0.223536998
2345939716,"6 May 2019, 08:07:34",Morning Run,Run,,3369,3357,10.19,10196.90039,,FALSE,Adidas Revenge Boost 2M,6.800000191,,25,23,-12.80000019,-5.199999809,31.60000038,0.007845522
2628761902,"16 Aug 2019, 05:34:27",Morning Run,Run,,1769,1764,5.29,5295.899902,180,FALSE,Nike Pegasus 35,4.599999905,,,,4.599999905,7.400000095,2.799999952,-0.032100305
2628771775,"17 Jul 2019, 11:22:49",Lunch Run,Run,,1812,1772,5.02,5024.600098,180,FALSE,Adidas Revenge Boost 2M,3.400000095,,3.900000095,,2.799999952,6.900000095,6.699999809,0.001990208
2628771794,"9 Jul 2019, 04:37:42",Morning Run in Antibes,Run,,3072,2860,7.51,7518.100098,178,FALSE,Nike Pegasus 35,3.599999905,,35.58952332,,-0.699999988,14,50,-0.001330123
2628771872,"22 Jul 2019, 18:20:59",Evening Run,Run,,1882,1868,5.03,5029.299805,176,FALSE,Adidas Revenge Boost 2M,3.700000048,,15.23771954,,3.599999905,12.80000019,7.900000095,0.157079518
2628771987,"6 Aug 2019, 05:24:28",Morning Run,Run,,1738,1688,5.08,5084.200195,173,FALSE,Adidas Revenge Boost 2M,3.599999905,,7.621671677,,3.599999905,9.199999809,13.80000019,-0.019668778
2628772075,"28 Jul 2019, 10:22:51",Woolwich Long Run to O2,Run,#longrun,3878,3870,11.05,11058.7002,176,FALSE,Nike Pegasus 35,3.700000048,,18.87343216,,0.699999988,7.5,13.80000019,0.007234124
2628772388,"11 Aug 2019, 10:04:02",Stratford Long Run,Run,#longrun,5766,5738,16.04,16041.7002,177,FALSE,Nike Pegasus 35,4.199999809,,74.79473877,,3.400000095,16.39999962,37.20000076,0.004987003
2628782113,"19 May 2019, 08:20:57",Hackney Half Marathon 2019,Run,#race,7653,7592,21.11,21114.19922,181,FALSE,Adidas Revenge Boost 2M,3.700000048,,78.77715302,,4.5,24.29999924,14,0.000473615
2628797223,"20 May 2018, 08:12:51",Hackney Half Marathon 2018,Run,#race,7050,7016,21.07,21077.5,178,FALSE,Adidas Revenge Boost 2M,3.900000095,,90.48136139,,3.099999905,21.79999924,21.5,0
2629685234,"18 Aug 2019, 10:49:42",Sunday Long Run in Greenwich,Run,#longrun,7860,7567,20.03,20030,176,FALSE,Nike Pegasus 35,5.400000095,,510,482,0.899999976,7.5,6.400000095,-0.001497753
2637368248,"21 Aug 2019, 05:28:01",Morning Run,Run,,1760,1754,5.36,5360.600098,175,FALSE,Nike Pegasus 35,4.599999905,,123,101,4.199999809,8.699999809,4.800000191,-0.001865463
2643211203,"23 Aug 2019, 05:23:01",Morning Run,Run,,1617,1617,5.1,5103.700195,177,FALSE,Nike Pegasus 35,4.5,,128,98,3.599999905,9.5,3.099999905,-0.007837451
2666684905,"31 Aug 2019, 08:42:02",Morning Run,Run,,1653,1653,5.04,5044.799805,174,FALSE,Nike Pegasus 35,4.400000095,,109,82,2,7,6,0.025769109
2669887462,"1 Sep 2019, 07:38:24",First 25K run,Run,#longrun,9705,9702,25.03,25032.09961,178,FALSE,Nike Pegasus 35,4.400000095,,546,550,-0.300000012,15.39999962,7.099999905,-0.000399487
2685409088,"6 Sep 2019, 18:24:33",Evening Run,Run,,938,938,3.11,3109.5,181,FALSE,Nike Pegasus 35,4.300000191,,50,88,2,7,5.599999905,-0.012863805
2686991868,"7 Sep 2019, 08:17:20",First 28K run,Run,#longrun,10903,10897,28,28008.69922,176,FALSE,Nike Pegasus 35,4,,630,621,0.899999976,15.39999962,7.599999905,-0.001071096
2690427126,"8 Sep 2019, 11:57:08",Lunch recovery run,Run,,1212,1212,3.16,3166.899902,161,FALSE,Nike Pegasus 35,3.400000095,,40,82,3.599999905,7.300000191,5.900000095,0.05999558
2695966073,"10 Sep 2019, 12:07:05",Afternoon Run,Run,,997,993,3.24,3239.100098,179,FALSE,Nike Pegasus 35,4.400000095,,102,112,3.400000095,9.5,6.599999905,0.033960052
2703950212,"13 Sep 2019, 05:41:11",Morning Run,Run,,1638,1638,5.02,5027.399902,166,FALSE,Nike Pegasus 35,4.099999905,,82,82,3.700000048,6.900000095,7.199999809,-0.0019891
2706600402,"14 Sep 2019, 08:02:16",Morning Run,Run,,1021,1017,3.21,3216.399902,172,FALSE,Nike Pegasus 35,6.800000191,,85,110,3.299999952,9.199999809,2.900000095,0.009327198
2710561130,"15 Sep 2019, 08:25:15",First 30K,Run,#longrun,12443,12140,30.16,30161.80078,172,FALSE,Nike Pegasus 35,5.400000095,,1068,1104,1.200000048,9.800000191,15.19999981,0.000994636
2721382260,"19 Sep 2019, 05:30:02",Morning Run,Run,,969,969,3.19,3190.899902,179,FALSE,Nike Pegasus 35,6.199999809,,98,46,3.700000048,6.900000095,4.400000095,0.053276505
2725422829,"20 Sep 2019, 16:22:20",Afternoon Run,Run,,1684,1684,5.1,5105.600098,176,FALSE,Nike Pegasus 35,4.400000095,,131,107,3.700000048,7.099999905,4.300000191,0
2729744981,"21 Sep 2019, 07:14:35",Morning Run,Run,,964,964,3.05,3058.5,163,FALSE,Nike Pegasus 35,5.400000095,,60,53,3.900000095,7,2.799999952,0.016347883
2731484096,"22 Sep 2019, 16:08:50",Afternoon Run,Run,,1461,1461,4.02,4026.100098,163,FALSE,Nike Pegasus 35,4,,86,90,3.799999952,7,4.300000191,-0.012418966
2734093453,"23 Sep 2019, 17:19:45",Evening Run,Run,,3617,3617,10.54,10542,164,FALSE,Nike Pegasus 35,3.200000048,,,,,,0,0
2745463479,"28 Sep 2019, 07:39:22",Short Morning Run,Run,,968,968,3.01,3010,166,FALSE,Nike Pegasus 35,4,,41,68,4.599999905,7,4.400000095,-0.009966778
2748646127,"29 Sep 2019, 08:01:48",Ealing Half Marathon 2019,Run,#race,7054,7054,21.33,21337.5,183,FALSE,Nike LunarEpic Flyknit Shield,4.099999905,,491,500,17.70000076,61.09999847,6.400000095,-0.016403046
2764239129,"5 Oct 2019, 10:21:39","Taper, taper, taper down",Run,,3920,3920,11.02,11020,172,FALSE,Nike Pegasus 35,3.599999905,,216,213,0,7.800000191,7.5,0.003629764
2785217440,"13 Oct 2019, 06:38:05",Bucharest Marathon 2019,Run,First Marathon! #race,16931,16877,42.32,42319.30078,185,FALSE,Nike Pegasus 35,4,,1509,1510,62,92.30000305,12.19999981,0.006380068
2795179690,"17 Oct 2019, 06:55:45",Morning Run,Run,,908,903,3.11,3109.600098,187,FALSE,On Cloudflow,4.300000191,,77,55,3.900000095,6.599999905,4.900000095,-0.016079238
2983405309,"5 Jan 2020, 09:37:50",First 2020 Run #roadtoparis,Run,,1708,1705,5.03,5029.600098,186,FALSE,On Cloudflow,3.799999952,2.949912071,3.24000001,195,4.400000095,7.800000191,4.300000191,0.005964689
3000419867,"11 Jan 2020, 08:44:54",Morning Run,Run,,1297,1297,4.03,4036.899902,184,FALSE,On Cloudflow,4.699999809,3.112490416,4.329999924,110,4.099999905,7,3.700000048,0.029725779
3004580568,"12 Jan 2020, 11:47:58",Sunday Run,Run,,2721,2721,8,8004.399902,184,FALSE,On Cloudflow,4.5,2.941712618,14.30333328,134,1.799999952,9.699999809,6.199999809,0.049972516
3009659383,"14 Jan 2020, 07:07:30",Morning Run,Run,,1672,1672,5.07,5074.899902,178,FALSE,Nike Pegasus 35,4.199999809,3.035227299,4.853333473,137,3.900000095,7,3.900000095,-0.003940965
3015511374,"16 Jan 2020, 07:04:26",Morning Run,Run,,1140,1140,3.51,3509.100098,172,FALSE,On Cloudflow,4.300000191,3.078157902,2.720000029,68,4.099999905,7,3.299999952,-0.017098401
3021652278,"18 Jan 2020, 11:48:55",Saturday Long Run,Run,#longrun,3795,3795,11.01,11012.7998,177,FALSE,On Cloudflow,3.799999952,2.901923656,16.23999977,152,1.799999952,7.800000191,4,0.007264274
